"Classic NES Series: Super Mario Bros. NA, PAL• Famicom Mini: Super Mario Bros. JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: Xevious NA, PAL• Famicom Mini: Xevious JP",N/A,2004,Namco,Nintendo,"NA, JP, PAL"
"Classic NES Series: Zelda II: The Adventure of Link NA, PAL• Famicom Mini: The Legend of Zelda 2: Link no Bouken JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
Cocoto Kart Racer,N/A,2005,Neko Entertainment,Bigben Interactive,PAL
Cocoto Platform Jumper,N/A,2007,Neko Entertainment,Bigben Interactive,PAL
Codename: Kids Next Door: Operation S.O.D.A.,N/A,2004,Vicarious Visions,Global Star Software,NA
Colin McRae Rally 2.0,Yes (SPM),2002,Spellbound,Ubisoft,"NA, PAL"
Columns Crown,Yes (SPM),2002,Wow Entertainment,Sega,"NA, JP, PAL"
Combat Choro Q: Advance Daisakusen,N/A,2002,Access,Takara,JP
Comix Zone,N/A,2002,Virtucraft,Sega,PAL
Connect Four / Perfection / Trouble,N/A,2005,Gravity-I,DSI Games,NA
"Contra Advance: The Alien Wars EX NA, PAL• Contra: Hard Spirits JP",Yes (COOP),2002,TOSE,Konami,"NA, JP, PAL"
Corvette,N/A,2003,Visual Impact,TDK Mediactive,NA
Crash Bandicoot: The Huge Adventure NA• Crash Bandicoot Advance JP• Crash Bandicoot XS PAL,No,2002,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
"Crash Bandicoot 2: N-Tranced NA, PAL• Crash Bandicoot Advance 2: Guru Guru Sai Min Dai Panic! JP",Yes,2003,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
Crash Bandicoot Purple: Ripto's Rampage NA• Crash Bandicoot Advance: Wakuwaku Tomodachi Daisakusen! JP• Crash Bandicoot: Fusion PAL,Yes (SPM),2005,Vicarious Visions,Vivendi Games,NA
"Crash Nitro Kart NA, PAL• Crash Bandicoot: Bakusou! Nitro Kart JP",Yes,2003,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
Crash of the Titans,N/A,2007,Amaze Entertainment,Sierra Entertainment,"NA, PAL"
Crayon Shin-Chan: Arashi no Yobu Cinema-Land no Daibouken! JP• Shinchan: Aventuras en Cineland ES,N/A,2004 (JP)2005 (PAL),Inti Creates,Atari SA,"JP, PAL"
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan! JP• Shinchan contra los muñecos de Shock Gahn ES,N/A,2006,Inti Creates,Atari SA,"JP, PAL"
Crazy Frog Racer,No,2005,Neko Entertainment,Digital Jesters,PAL
Crazy Chase,No,2002,,Kemco,"NA, PAL"
Crazy Taxi: Catch a Ride,No,2003,Kemco,Sega,"NA, PAL"
Creatures,N/A,2002,Elo Interactive,Swing! Deutschland,PAL
Croket! Great Jikuu no Boukensha,N/A,2004,,Konami,JP
Croket! Yume no Banker Survival!,N/A,2002,,Konami,JP
Croket! 2: Yami no Bank to Ban Joou,N/A,2003,,Konami,JP
Croket! 3: Granyuu Oukoku no Nazo,N/A,2003,,Konami,JP
Croket! 4: Bank no Mori no Mamorigami,N/A,2004,,Konami,JP
"Crouching Tiger, Hidden Dragon",N/A,2003,,Ubisoft,"NA, PAL"
Cruis'n Velocity,N/A,2001,Graphic State,Midway Games,NA
Crushed Baseball,N/A,2004,Griptonite Games,Summitsoft Entertainment,NA
CT Special Forces,Yes,2002,Light and Shadow Productions,Hip Interactive,"NA, PAL"
